Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
2022-09-14 20:00:00,59.990425,13.218394041061499,21.90056753158575,23.353997707367,224.98319244384749,223.68575668335,223.06623458862,7.099376916885375,7.5504351854324,208185224.25,76.65,22.9000003412365,72.475,23.75000035390275,64.60000000000001,25.150000374763998
2022-09-14 21:00:00,60.018375,13.6551215648655,20.73435592651375,23.918517589569,225.7549934387225,224.5140380859375,223.98809814453,7.124605655670175,7.556579589843725,208192956.0,79.1,21.9000003263355,73.325,23.075000343844252,64.675,24.6000003665685
2022-09-14 22:00:00,59.977675,13.594125032425001,20.474310874938748,23.150918483734,225.972537994385,224.5191307067875,224.1814613342275,6.9637179374695,7.420151710510275,208200605.5,79.525,21.77500032447275,74.25,22.775000339374,65.8,24.2750003617255
2022-09-14 23:00:00,59.9933,13.22439289093,20.89554500579825,23.57040405273425,226.976570129395,225.55171966553002,225.32047271728499,7.046372056007375,7.515740752220125,208208276.75,80.025,21.5750003214925,74.8,22.500000335276,65.575,24.300000362098
2022-09-21 00:00:00,59.99335,24.732529640198,25.6138339042665,30.946262359619,227.33910369873,226.16923904419,226.04480743407998,10.220451354980325,10.626451253891,210564584.25,88.4,21.25000031664975,81.725,22.400000333786,72.675,23.925000356510502
2022-09-21 01:00:00,59.99385,28.3517265319825,28.587455272674248,30.9468388557435,227.6351318359375,226.4733200073225,226.503063201905,11.072108983993674,11.510155677795499,210575143.75,88.55,21.075000314042,82.325,22.175000330433498,73.575,23.575000351295
2022-09-21 02:00:00,60.013925,24.650660991668502,25.76555585861175,30.23884630203275,228.2301902771,227.038513183595,227.0097808837875,10.163783788681,10.58593463897725,210585593.25,87.17500000000001,21.400000318885,81.5,22.325000332668502,73.325,23.650000352412498
2022-09-21 03:00:00,59.989975,25.256679534912,26.613169193268,31.1403551101685,226.93259048462,225.66035079956,225.61698150634749,10.40827941894525,10.82940506935125,210595810.0,88.3,21.225000316277,82.15,22.300000332296,73.6,23.67500035278525
2022-09-21 04:00:00,60.008675,28.67036962509175,28.7823009490965,31.685851573944,226.8713493347175,225.614894866945,225.703227996825,11.146750926971325,11.63160300254825,210606621.75,87.85,21.25000031664975,82.825,22.07500032894325,74.9,23.3250003475695
2022-09-21 05:00:00,59.996674999999996,24.31935024261475,27.7310128211975,32.711412429809755,226.54842376709252,225.21159744263,225.1582832336425,10.61835098266595,11.03452563285825,210617278.5,88.85,21.025000313297248,83.15,21.95000032708075,75.25,23.17500034533425
