Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
2022-05-31 04:00:00,59.9797,14.30108642578125,29.500050067901498,22.19902658462525,227.05458831787,225.7299423217775,225.9551811218275,8.231778979301449,8.6124792098999,164183945.25,89.925,20.700000308454,83.175,22.050000328570498,75.5,23.3250003475695
2022-05-31 05:00:00,59.978975000000005,16.42256569862375,27.350087642669752,24.310242652893,226.6759567260725,225.3400650024425,225.21176528930752,8.4387106895446,8.865068197250274,164192593.0,89.42500000000001,20.75000030919925,83.025,22.075000328943503,75.525,23.3250003475695
2022-05-31 06:00:00,59.98595,19.92448329925525,34.86427593231225,36.3646750450135,227.01899719238253,225.7688179016125,225.59435272217002,11.231688737869352,11.879220008850027,164201289.5,88.425,21.225000316277,83.0,22.250000331551,75.45,23.475000349804503
2022-05-31 07:00:00,59.974775,35.39972782135,58.035906791687,75.4454851150515,224.88581085204999,223.8461608886725,223.152420043945,20.76884174346925,21.791374206543,164216317.25,89.05,21.55000032112025,83.7,22.550000336021,76.4,23.700000353157748
2022-05-31 08:00:00,60.013425,74.92507457733099,90.27203750610424,116.68156814575126,222.83546829223746,222.032794952395,221.24908065795748,35.0814118385315,36.086886882782,164241276.0,87.0,22.300000332295998,84.14999999999999,22.850000340491498,77.175,23.775000354275498
2022-05-31 09:00:00,59.9749,100.477420806884,102.3066577911375,144.741771698,221.3072395324675,220.84467697143748,219.91102600098,43.24930572509775,44.242425918579,164280744.0,86.27499999999999,22.925000341609,83.85,23.275000346824502,77.25,24.150000359863
2022-05-31 10:00:00,59.980399999999996,97.55236434936552,123.78210067749,150.7020835876475,219.4881935119625,218.885677337645,217.7787361145025,45.91698837280275,46.936571121216005,164324898.75,83.35000000000001,23.87500035576525,82.85000000000001,23.850000355392748,76.45,24.75000036880375
2022-05-31 11:00:00,60.001475,101.6776142120355,125.45504379272501,164.070331573485,218.9448776245125,218.29191970825002,216.8290634155275,47.964075088501,49.188757896423496,164373114.75,81.5,24.450000364333498,81.45,24.300000362097997,75.47500000000001,25.200000375509
2022-05-31 12:00:00,60.011625,117.79724693298249,107.3493404388415,146.6068000793475,218.79542160034248,218.46815109252998,217.1515274047875,45.606905937194746,46.798858642578,164420681.5,78.30000000000001,25.4000003784895,79.375,24.950000371784,72.975,25.950000386685247
2022-05-31 13:00:00,59.995149999999995,118.04806137085251,96.45490455627525,149.52172088623252,217.3730926513675,217.2289390563975,215.692810058595,44.30931186676025,45.52904224395775,164467232.75,76.475,25.825000384822253,77.67500000000001,25.475000379607,71.72500000000001,26.450000394135753
2022-05-31 14:00:00,60.0371,163.7053833007825,133.20066833496,186.11480331421,217.016510009765,217.0264930725075,215.6088638305675,58.699085235595504,60.36852550506575,164522113.75,76.0,26.050000388175253,77.0,25.80000038445,70.55000000000001,26.8750004004685
2022-05-31 15:00:00,59.9953,147.9126701354975,116.52585411071826,203.970417022705,217.2857017517075,217.19356155395252,215.4635238647475,56.35900306701675,58.5361967086795,164578894.25,77.575,26.050000388175,77.85,25.9750003870575,70.75,27.200000405311503
