Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
2022-09-23 15:00:00,59.999175,57.72949028015125,61.284550666809,102.781618118286,218.64366912842002,218.032722473145,216.88589477539,26.9008445739745,27.85888862609875,211953556.5,81.825,24.4750003647055,80.175,24.4750003647055,72.225,25.7750003840775
2022-09-23 16:00:00,59.994425,60.863260269164996,66.5777406692505,99.658346176148,219.7357749938975,218.978313446045,218.07666397095,27.73947715759275,28.67080831527725,211982534.5,81.65,24.4250003639605,79.525,24.525000365451,71.725,25.80000038445
2022-09-23 17:00:00,60.014075,15.864767313003501,37.044255256653,34.0099534988405,221.89827728271501,220.704944610595,220.3578300476075,10.451083183288524,11.068842411041375,212001668.5,81.925,24.350000362843,80.2,24.3750003632155,71.7,25.8750003855675
2022-09-23 18:00:00,59.973375000000004,18.28304839134225,29.56545925140375,24.00393390655525,222.052112579345,220.89189910889002,220.72311782837,8.6024369001388,9.169667005538951,212010599.0,83.05,24.0750003587455,81.475,24.150000359863,72.55,25.7250003833325
2022-09-23 19:00:00,60.012275,18.3762772083285,27.98541450500475,22.922889232635498,223.4463958740225,222.3612022399875,222.04573059082,8.39172708988195,8.901151180267298,212018779.5,83.65,23.300000347197,79.575,24.050000358373,71.475,25.4500003792345
2022-09-23 20:00:00,59.9771,18.022210121155002,27.637767314911,23.507875919342,223.826709747315,222.619037628175,222.4422607421875,8.381382703781124,8.89882946014405,212026834.0,84.75,22.675000337883752,80.15,23.50000035017725,72.3,24.800000369549
2022-09-23 21:00:00,60.002025,15.34047770500175,29.670854568481502,19.071145057678,224.5208816528325,223.1397438049325,223.178787231445,7.7938530445099,8.269068837165825,212035051.25,84.575,22.70000033825625,80.875,23.300000347197,73.225,24.475000364706
2022-09-23 22:00:00,60.0057,15.50969266891475,27.89765167236325,17.63981914520275,224.795543670655,223.4378013610825,223.4985122680675,7.384381413459801,7.8892294168472255,212043171.75,87.775,22.025000328198,81.85,23.00000034272675,74.3,24.225000360980502
2022-09-23 23:00:00,60.0107,22.463136672973498,30.43414068222075,26.035382270813,225.297103881835,223.92671585083,223.845306396485,9.044181346893225,10.219679832458475,212051749.5,89.05,21.6750003229825,83.05,22.65000033751125,74.125,24.150000359863
2022-09-30 00:00:00,59.9961,16.596601486206,27.6043515205385,28.25955009460475,226.42775726318501,225.007244110105,225.0158348083525,8.598586082458475,9.421809196472175,214618024.0,83.675,21.125000314787002,78.7,21.950000327080502,65.975,24.47500036470575
2022-09-30 01:00:00,60.017849999999996,19.2894735336305,25.36409521102875,34.61377000808725,227.16397857665999,225.7342224121075,225.7713546752925,9.480143308639475,10.33762860298145,214627166.75,86.275,20.450000304729,78.80000000000001,21.825000325218,67.32499999999999,24.100000359118
2022-09-30 02:00:00,59.99295,18.144844532013252,26.3934478759765,32.25389671325675,227.62377166748,226.1472206115725,226.2930526733375,9.235655307769775,10.036283254623399,214636458.5,84.15,20.925000311807,77.8,22.025000328198,66.375,24.3750003632155
2022-09-30 03:00:00,60.015074999999996,16.477388381958,25.6211557388305,29.731026172637748,227.56636428833,226.0161437988275,226.224990844725,8.507053136825574,9.3833146095276,214645599.75,84.475,20.975000312551998,78.15,22.10000032931575,66.7,24.325000362470497
2022-09-30 04:00:00,60.01745,18.5315074920655,26.93763828277575,32.9966106414795,227.76947402954,226.29344177246,226.43409729004,9.468208789825326,10.26198720931995,214654895.5,87.80000000000001,20.27500030212125,80.225,21.600000321865,68.725,23.85000035539275
2022-09-30 05:00:00,59.9994,15.914038658142251,26.408095836639248,28.98830509185775,227.3821029663075,225.8441009521475,226.00216293335,8.50328946113585,9.308519124984725,214664175.0,86.525,20.55000030621875,79.625,21.700000323355,68.57499999999999,23.75000035390275
2022-09-30 06:00:00,59.973225,22.27045440673825,28.7046155929565,37.57818984985325,227.61885833740251,226.5577392578125,226.28105926513751,10.8141111135482,11.580039501190225,214673370.5,85.475,20.57500030659175,79.05,21.75000032410025,67.725,23.90000035613775
