Day,Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
Thursday,2022-07-21 11:45:00,59.9823,70.724700927734,99.412246704102,106.87252044678,221.16192626953,220.10806274414,219.1149597168,34.016262054443004,35.175827026367,184104268.0,77.5,23.400000348687,77.3,23.400000348687,69.9,24.500000365078
Thursday,2022-07-21 12:00:00,60.0315,62.668395996094,107.8934173584,114.95539855957,221.05151367188,219.55364990234,218.35241699219,34.607147216797,36.162998199463,184113297.0,77.2,23.400000348687,76.1,23.400000348687,69.2,24.600000366569
Thursday,2022-07-21 12:15:00,60.0329,72.293098449707,87.593193054199,123.24935913086,219.9962310791,219.2212677002,217.70016479492,34.404155731200994,35.750308990479006,184122202.0,76.5,23.700000353158,76.1,23.500000350177,68.9,24.800000369549
Thursday,2022-07-21 12:30:00,59.9691,71.620300292969,103.85608673096,132.89685058594,220.49099731445,219.45036315918,218.17956542969,37.430286407471,39.002876281738,184131284.0,75.3,23.700000353158,75.1,23.700000353158,68.3,24.800000369549
Thursday,2022-07-21 12:45:00,59.9769,72.917205810547,90.424346923828,125.44793701172,220.11799621582,218.97970581055,217.69743347168,35.13232421875,36.452281951904,184140685.0,75.2,23.900000356138,74.2,23.900000356138,67.8,25.000000372529
Thursday,2022-07-21 13:00:00,59.9758,78.69660949707,81.339859008789,113.60327148438,218.86079406738,217.9935760498,216.85034179688,33.20735168457,34.392841339111,184150652.0,73.9,24.000000357628,73.6,23.900000356138,67.1,25.100000374019
Thursday,2022-07-21 13:15:00,59.9642,79.722015380859,120.52536773682,105.65045166016,218.43092346191,217.02323913574,216.59492492676,37.215751647949,38.363761901855,184159051.0,74.5,23.900000356138,73.4,24.000000357628,67.3,25.100000374019
Thursday,2022-07-21 13:30:00,59.961,68.032005310059,111.11592102051,131.06455993652,219.0821685791,217.75810241699,216.80397033691,37.196720123291,38.963562011719,184167767.0,73.9,24.000000357628,73.4,24.100000359118,66.5,25.300000376999
Thursday,2022-07-21 13:45:00,59.9672,90.543304443359,91.111526489258,128.84739685059,218.13423156738,217.376953125,216.02513122559,37.711925506592,38.897434234619006,184177359.0,73.9,24.300000362098,73.1,24.300000362098,66.3,25.50000037998
Thursday,2022-07-21 14:00:00,59.9628,80.971603393555,87.400779724121,133.0178527832,217.99319458008,217.19030761719,215.88732910156,36.665882110596,37.713962554932,184186903.0,73.2,24.400000363588,72.2,24.400000363588,66.3,25.50000037998
