Day,Local Time Stamp,Freq (Hz),Curr A (A),Curr B (A),Curr C (A),Volt A-B (V),Volt B-C (V),Volt C-A (V),Act P (kW),App P (VA),Act E Delivered (Wh),HUMEDADR1 (%rH),TempR1 (C),HUMEDADR2 (%rH),TempR2 (C),HUMEDADR3 (%rH),TempR3 (C)
Friday,2021-10-22 00:00:00,60.0052,8.4897146224976,30.787132263184,27.027959823608,232.29402160645,231.09156799316,231.7638092041,8.3814687728882,8.8263378143311,74131154.0,66.36,25.445,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 00:15:00,60.0003,9.0337142944336,27.201072692871,26.962944030762,231.65231323242,230.48031616211,231.04908752441,7.9972705841064,8.3933534622192,74133136.0,66.36,25.2325,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 00:30:00,59.9972,8.9836654663086,30.974849700928,27.808765411377,231.84219360352,230.53469848633,231.3807220459,8.579489707946799,9.003088951110799,74135224.0,66.495,25.21,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 00:45:00,60.0112,8.4535999298096,33.406684875488,21.606262207031,232.04934692383,230.6682434082,231.59657287598,8.1044120788574,8.434542655944801,74137196.0,66.4775,25.2725,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 01:00:00,60.0485,18.613098144531,35.391254425049,22.190120697021,232.10314941406,231.04164123535,231.98197937012,9.6328105926514,10.165519714355,74139188.0,66.515,25.145,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 01:15:00,60.0202,8.9988880157471,30.166845321655,22.648719787598,232.51733398438,231.32196044922,232.15501403809,7.8807821273804,8.2396936416626,74141678.0,66.605,25.1525,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 01:30:00,60.0316,8.4211549758911,26.92259979248,23.462726593018,232.33569335938,231.16076660156,232.23374938965,7.498083114623999,7.835756778717,74143657.0,66.67,25.03,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 01:45:00,60.0297,8.4259338378906,27.142107009888,23.428043365479,232.66116333008,231.4190826416,232.2080078125,7.5255165100098,7.86834192276,74145641.0,66.835,25.035,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 02:00:00,60.055,8.9800796508789,30.990440368652,26.102668762207,232.21629333496,230.88700866699,231.67034912109,8.4387378692627,8.7914266586304,74147652.0,66.725,25.14,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 02:15:00,59.9723,8.4048852920532,28.452737808228,26.131647109985,232.06137084961,230.73368835449,231.60885620117,7.939992904663099,8.3763008117676,74149586.0,66.635,25.1675,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 02:30:00,60.0153,8.3953008651733,30.90771484375,26.757314682007,231.76954650879,230.53810119629,231.45762634277,8.262661933898901,8.7748308181763,74151545.0,66.64,25.165,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 02:45:00,59.9673,8.6763849258423,32.229091644287,25.603139877319,232.04289245605,230.60882568359,231.58436584473,8.3068895339966,8.8393650054932,74153667.0,84.37711169137467,23.72767429083195,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 03:00:00,59.962,8.6317291259766,32.052238464355,26.230056762695,232.27893066406,230.87449645996,231.81558227539,8.370849609375,8.9033184051514,74155681.0,66.82,25.015,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 03:15:00,60.0347,8.2384757995605,31.385417938232,22.202453613281,232.53401184082,231.05711364746,232.33506774902,7.791110515594499,8.2391195297241,74157742.0,67.245,24.79,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 03:30:00,60.0253,8.7613410949707,28.625955581665,23.212608337402,232.9122467041,231.53546142578,232.51187133789,7.7279753684998,8.089201927185101,74159725.0,67.4025,24.8425,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 03:45:00,59.9972,8.6605949401855,31.506776809692,22.570018768311,232.73056030273,231.35931396484,232.31747436523,7.9248065948486,8.3651885986328,74161648.0,67.4,24.83,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 04:00:00,59.969,8.3809041976929,26.01708984375,22.330455780029,232.55302429199,231.1845703125,232.07139587402,7.2689170837402,7.5615038871765,74163596.0,67.5,24.695,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 04:15:00,59.938,8.2071418762207,31.378746032715,26.264106750488,232.3822479248,231.1584777832,232.01664733887,8.1804132461548,8.7694511413574,74165545.0,67.675,24.71,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 04:30:00,60.031,8.6373233795166,26.036577224731,27.124599456787,232.91235351562,231.63708496094,232.48826599121,7.8369421958923,8.2522277832031,74167577.0,67.5325,24.7975,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 04:45:00,59.9683,8.2189064025879,29.851057052612,27.89693069458,232.72732543945,231.37478637695,232.3391418457,8.2169065475464,8.796591758728,74169577.0,67.41,24.695,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 05:00:00,59.9427,8.2071418762207,30.854528427124,27.014848709106,232.81343078613,231.39410400391,232.36364746094,8.308250427246099,8.8118419647217,74171610.0,67.525,24.77,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 05:15:00,60.0099,8.6773128509521,28.042585372925,26.043998718262,232.64189147949,231.25315856934,232.13270568848,7.936794757843001,8.367486000061001,74173595.0,67.4625,24.775,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 05:30:00,60.0031,8.2208642959595,29.189672470093,21.900136947632,232.97099304199,231.57604980469,232.34013366699,7.508861541748,7.9155621528625,74175563.0,67.475,24.85,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 05:45:00,60.0287,5.8427314758301,31.037689208984,28.351537704468,232.888671875,231.49794006348,232.30712890625,8.1188640594482,8.6948003768921,74177482.0,67.375,24.95,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 06:00:00,59.9644,6.6677799224854,27.984527587891,20.055595397949,233.64483642578,232.47528076172,233.17535400391,6.824230670929,7.322891712188699,74179462.0,67.415,24.83,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 06:15:00,60.0245,6.5863800048828,24.083179473877,21.165786743164,233.87225341797,232.72630310059,233.38409423828,6.5593495368958,6.9483246803284,74181238.0,67.465,24.91,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 06:30:00,60.0103,6.547146320343,30.021036148071,23.175466537476,233.41862487793,232.17041015625,232.68556213379,7.3109765052795,7.9845848083496,74183001.0,67.495,24.935,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 06:45:00,60.0187,6.4592447280884,24.185598373413,22.574300765991,232.62644958496,231.53479003906,232.04069519043,6.6702771186829,7.0952706336975,74184789.0,67.665,24.78,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 07:00:00,59.992,9.8293228149414,50.550350189209,22.74591255188,232.0100402832,231.03605651855,231.35980224609,10.532743453978998,11.046240806579998,74186877.0,67.82,24.83,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 07:15:00,60.0366,12.11973285675,31.669902801514,24.978218078613,230.86889648438,230.23930358887,230.37854003906,8.6729898452759,9.1181583404541,74189287.0,67.905,24.815,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 07:30:00,60.035,13.858997344971,38.874736785889,40.349941253662,229.73336791992,228.6111907959,229.04861450195,11.788283348083,12.262535095215,74191752.0,67.93,24.835,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
Friday,2021-10-22 07:45:00,59.9557,27.215574264526,48.237686157227,54.04638671875,229.55212402344,228.87802124023,228.98957824707,16.236455917358,17.090515136719002,74195175.0,67.925,24.955,80.90996527777779,24.225035083203366,73.23663194444444,25.493437879881828
